,News Channel,Date,Compound,Positive,Neutral,Negative,Tweets Ago
359,@CBSNews,Wed Mar 07 17:22:40 +0000 2018,0.25,0.087,0.913,0.0,60
360,@CBSNews,Wed Mar 07 17:07:46 +0000 2018,0.0,0.0,1.0,0.0,61
361,@CBSNews,Wed Mar 07 16:55:02 +0000 2018,-0.25,0.0,0.9,0.1,62
362,@CBSNews,Wed Mar 07 16:37:50 +0000 2018,0.0,0.0,1.0,0.0,63
363,@CBSNews,Wed Mar 07 16:32:42 +0000 2018,-0.6096,0.122,0.589,0.289,64
364,@CBSNews,Wed Mar 07 16:30:01 +0000 2018,-0.6705,0.0,0.78,0.22,65
365,@CBSNews,Wed Mar 07 16:22:55 +0000 2018,-0.2263,0.0,0.894,0.106,66
366,@CBSNews,Wed Mar 07 16:15:01 +0000 2018,0.0,0.0,1.0,0.0,67
367,@CBSNews,Wed Mar 07 16:00:02 +0000 2018,0.0,0.0,1.0,0.0,68
368,@CBSNews,Wed Mar 07 15:45:25 +0000 2018,0.0,0.0,1.0,0.0,69
369,@CBSNews,Wed Mar 07 15:34:52 +0000 2018,0.4215,0.226,0.774,0.0,70
370,@CBSNews,Wed Mar 07 15:22:33 +0000 2018,0.0,0.0,1.0,0.0,71
371,@CBSNews,Wed Mar 07 15:05:27 +0000 2018,0.0,0.0,1.0,0.0,72
372,@CBSNews,Wed Mar 07 14:47:02 +0000 2018,0.1779,0.126,0.779,0.095,73
373,@CBSNews,Wed Mar 07 14:38:39 +0000 2018,0.0,0.0,1.0,0.0,74
374,@CBSNews,Wed Mar 07 14:30:46 +0000 2018,-0.3612,0.0,0.811,0.189,75
375,@CBSNews,Wed Mar 07 14:15:01 +0000 2018,-0.4404,0.0,0.847,0.153,76
376,@CBSNews,Wed Mar 07 14:00:04 +0000 2018,-0.5267,0.0,0.825,0.175,77
377,@CBSNews,Wed Mar 07 13:44:46 +0000 2018,0.3612,0.116,0.884,0.0,78
